"","Count","Lat","Lon"
"nevada,lander",1,39.9059878,-116.9843374
"texas,wichita",1,33.9516534,-98.7088886
"mississippi,lafayette",3,34.3646125,-89.5396349102097
"pennsylvania,franklin",1,41.397836,-79.831444
"missouri,franklin",1,38.4021095,-91.0841241
"minnesota,hennepin",8,45.0257232,-93.4865052
"ohio,lake",4,40.2253569,-82.6881395
"illinois,sangamon",6,39.7623668,-89.6454905
"missouri,lafayette",1,39.0603689,-93.8151868
"nebraska,dawes",1,42.71723,-103.1216528
"kansas,leavenworth",1,39.2147095,-95.0620347
"south dakota,brookings",1,44.3763598,-96.7925213
"oklahoma,mcclain",1,34.9756991,-97.481167
"texas,kerr",9,30.045717,-99.3884839
"pennsylvania,lancaster",5,40.03813,-76.3056686
"new jersey,hudson",1,40.861428,-74.922151
"texas,swisher",1,34.47235,-101.7119955
"california,yolo",10,38.7184542,-121.9059001
"missouri,randolph",1,39.4418988,-92.5009215
"minnesota,pipestone",1,44.0270012,-96.2566582
"ohio,lucas",5,40.7037641,-82.41847
"california,napa",3,38.2971367,-122.2855293
"illinois,boone",1,42.321246,-88.8235511
"vermont,washington",3,44.105619,-72.432601
"georgia,stephens",1,33.794843,-83.1615422
"utah,utah",10,40.0841662,-111.6259473
"kansas,riley",2,39.3026347,-96.7709339
"missouri,de kalb",1,39.5869398,-94.9252426
"alabama,washington",1,31.3991238,-88.2019828
"indiana,jasper",1,38.3914228,-86.9308719
"montana,mineral",2,47.1330265,-114.9202341
"utah,cache",2,41.7042978,-111.7451159
"virginia,chesterfield",3,36.8437589,-76.2599395
"utah,emery",3,38.9844774,-110.8038549
"texas,navarro",1,32.0279525,-96.4985456
"pennsylvania,bedford",1,40.0186921,-78.5039069
"massachusetts,hampden",3,42.0640239,-72.4186602
"iowa,osceola",1,43.3684613,-95.6299944
"indiana,boone",1,39.5084809,-86.7957444
"illinois,henry",1,41.3418549,-90.1177442
"california,san benito",5,36.6248089,-121.1177379
"oregon,lane",6,43.9792797,-120.737257
"washington,snohomish",1,47.9180275,-122.0899646
"illinois,franklin",1,37.9765409,-88.9335327
"north carolina,madison",6,36.385422,-79.9594689
"california,mariposa",6,37.570148,-119.9036592
"ohio,athens",3,39.3289242,-82.1012479
"idaho,teton",1,43.7647107,-111.2081469
"pennsylvania,adams",1,40.3595226,-77.8616634
"maryland,garrett",1,39.544087,-79.2496976
"virginia,loudoun",2,39.0984586,-77.6705008
"pennsylvania,luzerne",2,41.2857599,-75.9008924
"illinois,mchenry",2,42.3294391,-88.4605713
"georgia,fayette",2,33.3899269,-84.4953763
"ohio,wood",1,41.2776661,-83.6643025
"kentucky,pulaski",1,37.2089669,-84.6388326
"tennessee,putnam",1,36.1379872,-85.4553784
"north carolina,henderson",1,36.3295905,-78.3991638
"montana,lewis and clark",2,47.2117026,-112.4768049
"montana,carbon",1,45.2050058,-109.1434792
"mississippi,montgomery",3,31.6418345,-90.4195383
"connecticut,fairfield",8,41.1412078,-73.2637258
"oklahoma,sequoyah",1,36.3798606,-95.5967275660342
"minnesota,rice",1,44.3413376,-93.2865484
"virginia,smyth",1,36.8440149,-81.5418453
"texas,walker",5,30.6795741,-95.5522823
"maine,knox",2,44.51420395,-69.2133109087779
"new york,tompkins",5,42.443114,-76.4725920912081
"kentucky,union",1,38.9458951,-84.680501
"north carolina,carteret",2,35.8435913,-79.0401997
"indiana,madison",1,38.7358933,-85.3799577
"michigan,wayne",3,42.2682408,-83.2844172
"pennsylvania,westmoreland",4,40.2930159,-79.4873204
"new york,schuyler",1,42.8245448,-73.9035922463237
"ohio,stark",3,40.7214654,-81.4399734
"new hampshire,cheshire",5,42.9525022,-72.2834412
"washington,island",3,48.1490612,-117.7552413
"kentucky,jefferson",7,34.19217,-91.992852
"texas,nueces",1,27.7153774,-97.6199942
"wisconsin,portage",2,43.539494,-89.461334
"tennessee,unicoi",2,36.1953862,-82.3495818
"ohio,clark",1,40.4489547,-81.9023614
"new york,warren",1,42.8472949,-74.9209865
"south dakota,hughes",2,44.4047339,-99.946102
"north dakota,bottineau",2,48.8243455,-100.8431321
"north carolina,catawba",1,35.7073558,-81.0756345
"texas,mclennan",2,31.5487691,-97.2189254
"colorado,la plata",2,37.2889732,-107.8539029
"new york,monroe",2,43.150094,-77.6810141
"idaho,elmore",1,43.3073766,-115.5411027
"washington,spokane",4,47.6571934,-117.4235106
"virginia,montgomery",2,38.1803833,-81.3284452
"pennsylvania,fayette",1,39.8222992,-79.918944
"ohio,trumbull",1,41.6781106,-80.9539818
"pennsylvania,schuylkill",1,39.942335,-75.1871235
"texas,la salle",1,28.3391148,-99.0982257
"kentucky,green",1,38.1406397,-83.0751714
"oklahoma,creek",1,35.9525414,-97.5947685
"new mexico,grant",3,32.7548776,-108.3634144
"west virginia,monongalia",1,39.6391074,-80.0300399
"georgia,floyd",1,33.8470493,-84.5854887
"oklahoma,pushmataha",1,34.4098497,-95.4033122
"idaho,bear lake",3,42.2172123,-111.3198808
"colorado,pitkin",1,39.2037774,-106.8695332
"virginia,lunenburg",1,36.9609839,-78.2655525
"washington,mason",2,37.7945162,-122.4114275
"california,san luis obispo",3,35.3540209,-120.3757163
"michigan,isabella",1,43.6306545,-84.8468516
"idaho,adams",1,44.8677448,-116.4572399
"texas,hays",7,30.0447901,-98.0393127
